id,prices.amountMax,prices.amountMin,prices.availability,prices.condition,prices.isSale,prices.merchant,prices.shipping,asins 1,asins 2,asins 3,asins 4,asins 5,brand,categories 1,categories 2,categories 3,categories 4,categories 5,categories 6,categories 7,categories 8,categories 9,categories 10,categories 11,categories 12,categories 13,categories 14,manufacturer,name,upc,weight
AVpe9FXeLJeJML43zHrq,23.99,23.99,In Stock,New,FALSE,Bestbuy.com,,B002P9GP62,,,,,DENAQ,Adapters & Cables,Laptops,Computers,Batteries,Office,Tablets,Accessories,,,,,,,,Dantona,DENAQ - AC Adapter for TOSHIBA SATELLITE 1700 1710 1715 1730 1735 1750 1755 1955 3000 3005 A100 M30X M35X - Black,8.14E+11,1.2 pounds
AVpfVJXu1cnluZ0-iwTT,290.99,290.99,In Stock,New,FALSE,Bestbuy.com,,B00U0VEGRM,,,,,DreamWave,Audio,Speakers,Bluetooth,Video,,,,,,,,,,,,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",7.52E+11,13.2 pounds
AVpfVJXu1cnluZ0-iwTT,279.99,279.99,In Stock,New,FALSE,Bestbuy.com,,B00U0VEGRM,,,,,DreamWave,Audio,Speakers,Bluetooth,Video,,,,,,,,,,,,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",7.52E+11,13.2 pounds
AVpfVJXu1cnluZ0-iwTT,299.99,299.99,In Stock,New,FALSE,Bestbuy.com,,B00U0VEGRM,,,,,DreamWave,Audio,Speakers,Bluetooth,Video,,,,,,,,,,,,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",7.52E+11,13.2 pounds
AVpfVJXu1cnluZ0-iwTT,225.99,225.99,In Stock,New,TRUE,Bestbuy.com,,B00U0VEGRM,,,,,DreamWave,Audio,Speakers,Bluetooth,Video,,,,,,,,,,,,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",7.52E+11,13.2 pounds
AVpfVJXu1cnluZ0-iwTT,289.99,289.99,In Stock,New,FALSE,Bestbuy.com,,B00U0VEGRM,,,,,DreamWave,Audio,Speakers,Bluetooth,Video,,,,,,,,,,,,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",7.52E+11,13.2 pounds
AVphUeKeilAPnD_x3-Be,244.01,244.01,In Stock,New,FALSE,Growkart,Value,B001AVRD62,,,,,Yamaha,TV,Speakers,Audio,Home Theater,,,,,,,,,,,YAMAHA,NS-SP1800BL 5.1-Channel Home Theater System (Black),27108105321,1.6 lb 2.6 lb 1.6 lb 18.7 lb
AVphUeKeilAPnD_x3-Be,132.99,132.99,In Stock,New,TRUE,Bestbuy.com,Free Shippingon orders 35 and up,B001AVRD62,,,,,Yamaha,TV,Speakers,Audio,Home Theater,,,,,,,,,,,YAMAHA,NS-SP1800BL 5.1-Channel Home Theater System (Black),27108105321,1.6 lb 2.6 lb 1.6 lb 18.7 lb
AVphUeKeilAPnD_x3-Be,149.99,149.99,In Stock,New,FALSE,Bestbuy.com,,B001AVRD62,,,,,Yamaha,TV,Speakers,Audio,Home Theater,,,,,,,,,,,YAMAHA,NS-SP1800BL 5.1-Channel Home Theater System (Black),27108105321,1.6 lb 2.6 lb 1.6 lb 18.7 lb
AVphUeKeilAPnD_x3-Be,149.95,149.95,In Stock,New,TRUE,bhphotovideo.com,Free Expedited Shipping,B001AVRD62,,,,,Yamaha,TV,Speakers,Audio,Home Theater,,,,,,,,,,,YAMAHA,NS-SP1800BL 5.1-Channel Home Theater System (Black),27108105321,1.6 lb 2.6 lb 1.6 lb 18.7 lb
